newstest2019.online-B.0.en-de	silkie
newstest2019.eTranslation.6823.en-de	absence
newstest2019.MSRA.MADL.6926.en-de	dealer
ref_de	regime
newstest2019.online-B.0.en-de	defence
newstest2019.eTranslation.6823.en-de	health
newstest2019.MSRA.MADL.6926.en-de	servant
ref_de	thesis
newstest2019.online-B.0.en-de	serpent
newstest2019.eTranslation.6823.en-de	artist
newstest2019.MSRA.MADL.6926.en-de	anthrax
ref_de	pricing
newstest2019.online-B.0.en-de	emotion
newstest2019.eTranslation.6823.en-de	preview
newstest2019.MSRA.MADL.6926.en-de	bicycle
ref_de	hanging
