newstest2019.online-B.0.de-en	silkie
newstest2019.MSRA.MADL.6910.de-en	absence
ref_en	dealer
newstest2019.online-B.0.de-en	regime
newstest2019.MSRA.MADL.6910.de-en	defence
ref_en	health
newstest2019.online-B.0.de-en	servant
newstest2019.MSRA.MADL.6910.de-en	thesis
ref_en	serpent
newstest2019.online-B.0.de-en	artist
newstest2019.MSRA.MADL.6910.de-en	anthrax
ref_en	pricing
newstest2019.online-B.0.de-en	emotion
newstest2019.MSRA.MADL.6910.de-en	preview
ref_en	bicycle
newstest2019.online-B.0.de-en	hanging
