newstest2019.online-B.0.de-en	silkie	Pavel Komárek	2	1	1	2	1
newstest2019.MSRA.MADL.6910.de-en	absence	Pavel Komárek	2	1	1	2	1
ref_en	dealer	Pavel Komárek	2	2	2	2	2
newstest2019.online-B.0.de-en	regime	Pavel Komárek	2	2	2	2	2
newstest2019.MSRA.MADL.6910.de-en	defence	Pavel Komárek	2	1	1	1	1
ref_en	health	Pavel Komárek	2	2	2	2	2
newstest2019.online-B.0.de-en	servant	Pavel Komárek	2	2	2	2	2
newstest2019.MSRA.MADL.6910.de-en	thesis	Pavel Komárek	2	1	1	1	1
ref_en	serpent	Pavel Komárek	3	3	3	3	3
newstest2019.online-B.0.de-en	artist	Pavel Komárek	3	3	2	2	2
newstest2019.MSRA.MADL.6910.de-en	anthrax	Pavel Komárek	3	2	2	2	2
ref_en	pricing	Pavel Komárek	3	3	3	3	3
newstest2019.online-B.0.de-en	emotion	Pavel Komárek	2	2	1	1	1
newstest2019.MSRA.MADL.6910.de-en	preview	Pavel Komárek 	3	3	3	3	3
ref_en	bicycle	Pavel Komárek 	3	3	3	3	3
newstest2019.online-B.0.de-en	hanging	Pavel Komárek	3	3	3	3	3
